,,Teaching,Teaching,Teaching,Cognitive,Cognitive,Cognitive,Cognitive,Social,Social,Social
https://www.mdpi.com/2071-1050/14/3/1785,Rosa Huiju Chen,"Design and develop online activities, such as deliberate practice tasks, to support the instructional goals of the course​","Actively moderate and facilitate online discussions, and check students' reflective texts regularly to maintain a consistent teaching presence","Use short film clips from platforms like VoiceTube for reflective writing exercises, ensuring relevance to the course's themes. This approach aids in language understanding and is particularly beneficial for students with lower proficiency",,,"Assign reflective writing tasks based on film clip analysis, encouraging students to integrate what they have learned and apply it to their writing",,,"Implement activities that encourage open communication among students, such as problem-solving tasks posted online for group discussion​",Develop partnership strategies within the learning community to enhance group cohesion. This can involve students responding to each other's posts to maintain a mutual social presence
https://www.sciencedirect.com/science/article/abs/pii/S0360131514002358,Elson Szeto,"Conducting formative assessment of students' engineering drawing learning through various modes, including face-to-face on-site and blended synchronous online activities","Engaging students in instructor/student-initiated question-and-answer sessions, open discussions, and sharing, as well as providing feedback and critiques","Offering live demonstrations of engineering drawing, in-class self-study sessions, and individual/group practice of engineering drawing",,,Facilitating discussions that encourage knowledge sharing and integration among students,Utilizing assessment tasks that allow students to apply and demonstrate their learning in practical contexts,,"Facilitating open discussion and sharing, as well as cross-group discussions to encourage communication among students","Implementing group projects, presentations, and reports to foster group cohesion and collaborative learning"
https://www.sciencedirect.com/science/article/pii/S8755461516300603,Mary K Stewart,"Assigning asynchronous discussion forum tasks where students post responses to set questions and reply to classmates' posts on different questions, fostering engagement with diverse viewpoints",Instructing students to encourage further discussion in their replies by asking questions or offering unique perspectives,"Grading students’ work and providing individual comments after the completion of forum activities, although not participating publicly in the forum​",,,"Pose  issues without clear solutions, facilitating the integration of knowledge through engagement with diverse viewpoints",,,"Encouraging students to share personal experiences and examples, as well as to develop social presence by engaging with peers' perspectives in discussion forums​","The design of activities in the synchronous webinar and Google document aimed at fostering group cohesion, although these were less successful due to challenges in implementing effective social presence"
*,Charlotte Seckman,"Clearly articulate course goals, objectives, and evaluation criteria",,Provide timely and frequent feedback to students.,,,Implement activities that encourage students to reflect on and apply their learning.,,,"Facilitate activities that allow students to interact with peers, enhancing open communication.","Develop relationships among students through structured activities, fostering group cohesion."
,Charlotte Seckman,"ensure that internet links, videos, and other technologies used in the course are functioning properly and frequently updated",,Ensure interactive learning experiences to enhance teaching presence.,,"Create opportunities for students to explore concepts before being graded, promoting exploration within the learning process.",,,,,
https://research.usq.edu.au/download/da39d6dae51dce7af2d74e206fc1c8fe6341a9bd3e913cb8eb086ecd05c071ce/204904/Redmond_ELDM_v11n1_AV.pdf,Petrea Redmond,,,,"Students introduce themselves to the larger group, respond to peers, and read some stimulus text. This phase initiates the cognitive process by engaging with the material and peers​","In small groups, students create an overview of the stimulus material, including pedagogical issues. This activity encourages exploration of the topic and sharing of diverse perspectives","The instructor selects inquiry questions to stimulate further dialogue, promoting the integration of ideas and perspectives identified by the student","Experts join in the dialogue as, aiding in the resolution of the discussion by providing additional insights and expertise",,,
https://www.researchgate.net/publication/265376234_Teaching_Presence_Online_Facilitates_Meaningful_Learning,"Patrick R Lowenthal;
Tina J Parscal",Develop course overviews,Contribute to discussion forums throughout the week and launch discussion threads.,Post introductions and expectations documents before students access the course.,,,,,"Use expressions of emotions, like emojis, in communications.",Encourage open and frequent communication by addressing students by name and allowing students options for addressing the instructor.,
https://www.researchgate.net/publication/265376234_Teaching_Presence_Online_Facilitates_Meaningful_Learning,"Patrick R Lowenthal;
Tina J Parscal",structure collaborative learning activities,Provide suggested due dates for initial postings to promote mid-week engagement.,Provide frequent feedback and send progress reports on participation and quality of postings.,,,,,Share personal stories and professional experiences to connect with students on a more personal leve,Strike up conversations to foster a sense of community and engagement,
https://www.researchgate.net/publication/265376234_Teaching_Presence_Online_Facilitates_Meaningful_Learning,"Patrick R Lowenthal;
Tina J Parscal",Incorporate audio and video content,Summarize each discussion thread at the end of the week,Promptly answer emails from student,,,,,,,
https://www.researchgate.net/publication/265376234_Teaching_Presence_Online_Facilitates_Meaningful_Learning,"Patrick R Lowenthal;
Tina J Parscal",Limit class size to maintain a manageable and effective learning environment,,,,,,,,,
https://www.researchgate.net/publication/265376234_Teaching_Presence_Online_Facilitates_Meaningful_Learning,"Patrick R Lowenthal;
Tina J Parscal",Utilize group work strategies and develop open-ended critical thinking discussion questions.,,,,,,,,,
https://www.researchgate.net/publication/265376234_Teaching_Presence_Online_Facilitates_Meaningful_Learning,"Patrick R Lowenthal;
Tina J Parscal","Incorporate reflective activities and continuous, authentic assessment strategies​",,,,,,,,,
https://link.springer.com/article/10.1007/s11528-016-0029-4,"Joanna C Dunlap;
Geeta Verma;
Heather Lynn Johnson",,,"Providing opportunities for student-to-student and student-to-instructor interactions, especially during the explaining phase (abstract conceptualization) and applying phase (active experimentation) of Kolb’s cycle​",,Providing concrete experiences in the experiencing phase through activities like viewing classroom videos and working with interactive tools,"Supporting abstract conceptualization during the explaining phase through lectures, position papers, model building, and foundational readings",,,Setting an instructional climate that promotes social presence through guided reflection and discussion prompts during the examining phase,
https://link.springer.com/article/10.1007/s11528-016-0029-5,"Joanna C Dunlap;
Geeta Verma;
Heather Lynn Johnson",,,,,,Enabling active experimentation in the applying phase by connecting instructional practices to real classroom experiences and observations,,,Engaging students in peer review and interaction during the explaining phase​,
https://link.springer.com/article/10.1007/s11528-016-0029-6,"Joanna C Dunlap;
Geeta Verma;
Heather Lynn Johnson",,,,,,,,,Facilitating online communication tools for joint observations and discussions during the applying phase,
